year,total_generation_twh,total_emission_mtco2,emission_intensity_kgco2_per_mwh
1985,179.692681424,99.76468052767999,555.1961256133567
1986,200.16992927033527,115.05133667367492,574.7683335507141
1987,216.31309682223247,130.73834946063062,604.3940537177565
1988,240.12110611002964,145.2475993062243,604.8930960682319
1989,269.0622480840948,162.24665814895772,603.007888710749
1990,295.7319407855223,178.77751573444928,604.5255553376513
1991,323.9485375301543,195.37165512072644,603.0947279783306
1992,343.40112988240026,212.6235683503682,619.169681891211
1993,363.0656251410623,227.85168069047108,627.5771235625615
1994,394.9997558738811,245.81534310698248,622.3177089392138
1995,420.4316237085796,265.1889342638352,630.7540139931288
1996,438.49461936205086,283.5600323848817,646.6670738113559
1997,469.8789025392647,304.14101228219704,647.2753099545301
1998,514.0557904230765,324.9798769309227,632.1879511627695
1999,546.2141253068885,347.86896697564856,636.8728871304813
2000,566.35820816008,365.4517106912656,645.266026740397
2001,582.2825364217019,379.5347298657956,651.8051051267114
2002,606.680015056469,399.5693623463046,658.6163256244946
2003,639.6569773567795,422.5844014325592,660.6422135482399
2004,697.5739396570901,438.3644405188139,628.4128686549025
2005,707.6309355519866,451.504997152629,638.0515244156661
2006,741.2060363664626,463.5523298204993,625.4027990556092
2007,800.811446057097,496.20256576681953,619.6247171664937
2008,828.7729762588565,524.8598605322624,633.2975079635429
2009,877.8222092830866,561.720081612131,639.9018795285268
2010,958.04370659819,610.8504725456947,637.6018842759222
2011,1060.0922794220305,662.174440255837,624.6384896009798
2012,1095.3076817513888,704.6157112550225,643.3039071983383
2013,1152.1410901879806,742.9670756217387,644.8577192056555
2014,1229.3077133556199,794.9293416705133,646.6479735172315
2015,1295.4323478781537,846.1081900911146,653.1473383978662
2016,1359.765305976524,895.7883934088711,658.7816217046037
2017,1448.5947087867546,943.2342988102406,651.1374735037035
2018,1528.7005066712732,986.3378609728078,645.2132753723922
2019,1632.446304555792,1031.0665431353752,631.6082435654388
2020,1705.522102440312,1078.9827652979434,632.6407401898238
2021,1768.5415052505418,1118.9367506993124,632.6889967678746
2022,1847.4773031350608,1159.0481328618798,627.3679957502283
2023,1911.7831010195803,1208.911515024448,632.3476310569534
2024,3678.1135956927174,2527.125906536598,687.0711958151613
2025,2147.598673773137,1350.6868542285504,628.9288919402784
2026,2221.2777584808277,1397.186489538411,629.0012512860942
2027,2294.9568431885173,1443.6861248482714,629.0689644701441
2028,2368.8295328219187,1490.3131233969332,629.1348122553866
2029,2442.5086175296083,1536.8127587067936,629.1944059796809
2030,2516.1877022372964,1583.3123940166533,629.2505096534862
2031,2589.8667869449873,1629.8120293265138,629.3034211419977
2032,2663.7394765783883,1676.439027875176,629.3554766206289
2033,2737.4185612860792,1722.9386631850364,629.402710842866
2034,2811.0976459937683,1769.4382984948966,629.447469039935
2035,427.5010473317074,34.87471418932682,81.57807894741077
